artifact_id,payload_sha256,issuer_id,company,ticker,cik,role,filer_regime,fiscal_period,period_end,source_form,source_accession,source_accepted_at,metric_id,value,prior_value,comparability_tier,formula,note,source_url
recent-ai-infrastructure-filing-cross-section-2026-q2-v1,1bc5c856cb14a7d7f0c35aa69309a4ab79c320bceca0ad1ab448f3d306bf896c,coreweave,"CoreWeave, Inc.",CRWV,0001769628,AI cloud infrastructure,domestic-issuer,FY2026 Q2,2026-06-30,10-Q,0001769628-26-000366,2026-08-11T23:24:42.000Z,revenueGrowth,1.1245874587458746,,A,(current-quarter revenue / prior-year quarter revenue) - 1,Direct 10-Q XBRL facts.,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000366/crwv-20260630.htm
recent-ai-infrastructure-filing-cross-section-2026-q2-v1,1bc5c856cb14a7d7f0c35aa69309a4ab79c320bceca0ad1ab448f3d306bf896c,coreweave,"CoreWeave, Inc.",CRWV,0001769628,AI cloud infrastructure,domestic-issuer,FY2026 Q2,2026-06-30,10-Q,0001769628-26-000366,2026-08-11T23:24:42.000Z,operatingMargin,-0.019029126213592235,0.015676567656765675,A,quarterly operating income (loss) / quarterly revenue,Direct 10-Q XBRL facts.,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000366/crwv-20260630.htm
recent-ai-infrastructure-filing-cross-section-2026-q2-v1,1bc5c856cb14a7d7f0c35aa69309a4ab79c320bceca0ad1ab448f3d306bf896c,coreweave,"CoreWeave, Inc.",CRWV,0001769628,AI cloud infrastructure,domestic-issuer,FY2026 Q2,2026-06-30,10-Q,0001769628-26-000366,2026-08-11T23:24:42.000Z,operatingCashFlowMarginYtd,0.7872340425531915,-0.08659981768459435,A,year-to-date operating cash flow / year-to-date revenue,Cash flow is six-month cumulative.,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000366/crwv-20260630.htm
recent-ai-infrastructure-filing-cross-section-2026-q2-v1,1bc5c856cb14a7d7f0c35aa69309a4ab79c320bceca0ad1ab448f3d306bf896c,coreweave,"CoreWeave, Inc.",CRWV,0001769628,AI cloud infrastructure,domestic-issuer,FY2026 Q2,2026-06-30,10-Q,0001769628-26-000366,2026-08-11T23:24:42.000Z,capexIntensityYtd,3.0339565871480767,1.7593436645396536,A,year-to-date purchases of property and equipment / year-to-date revenue,Purchases of property and equipment; not total committed capacity.,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000366/crwv-20260630.htm
recent-ai-infrastructure-filing-cross-section-2026-q2-v1,1bc5c856cb14a7d7f0c35aa69309a4ab79c320bceca0ad1ab448f3d306bf896c,coreweave,"CoreWeave, Inc.",CRWV,0001769628,AI cloud infrastructure,domestic-issuer,FY2026 Q2,2026-06-30,10-Q,0001769628-26-000366,2026-08-11T23:24:42.000Z,sbcIntensityYtd,0.06834300451321727,0.14995442114858706,A,year-to-date stock-based compensation / year-to-date revenue,Direct 10-Q XBRL facts.,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000366/crwv-20260630.htm
recent-ai-infrastructure-filing-cross-section-2026-q2-v1,1bc5c856cb14a7d7f0c35aa69309a4ab79c320bceca0ad1ab448f3d306bf896c,coreweave,"CoreWeave, Inc.",CRWV,0001769628,AI cloud infrastructure,domestic-issuer,FY2026 Q2,2026-06-30,10-Q,0001769628-26-000366,2026-08-11T23:24:42.000Z,dilutedShareChange,0.1314168377823408,,A,(current-quarter diluted weighted-average shares / prior-year quarter shares) - 1,Direct 10-Q XBRL facts.,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000366/crwv-20260630.htm
recent-ai-infrastructure-filing-cross-section-2026-q2-v1,1bc5c856cb14a7d7f0c35aa69309a4ab79c320bceca0ad1ab448f3d306bf896c,nebius,Nebius Group N.V.,NBIS,0001513845,AI cloud infrastructure and adjacent businesses,foreign-private-issuer,2026 Q2,2026-06-30,6-K Exhibit 99.2,0001104659-26-094844,2026-08-12T20:01:08.000Z,revenueGrowth,4.540437678401522,,B,(current-quarter revenue / prior-year quarter revenue) - 1,SEC-filed 6-K exhibit; values presented in USD millions.,https://www.sec.gov/Archives/edgar/data/1513845/000110465926094844/nbis-20260812xex99d2.htm
recent-ai-infrastructure-filing-cross-section-2026-q2-v1,1bc5c856cb14a7d7f0c35aa69309a4ab79c320bceca0ad1ab448f3d306bf896c,nebius,Nebius Group N.V.,NBIS,0001513845,AI cloud infrastructure and adjacent businesses,foreign-private-issuer,2026 Q2,2026-06-30,6-K Exhibit 99.2,0001104659-26-094844,2026-08-12T20:01:08.000Z,operatingMargin,-0.30207796668383996,-1.0580399619410086,B,quarterly loss from operations / quarterly revenue,Issuer table separately presents depreciation and amortization.,https://www.sec.gov/Archives/edgar/data/1513845/000110465926094844/nbis-20260812xex99d2.htm
recent-ai-infrastructure-filing-cross-section-2026-q2-v1,1bc5c856cb14a7d7f0c35aa69309a4ab79c320bceca0ad1ab448f3d306bf896c,nebius,Nebius Group N.V.,NBIS,0001513845,AI cloud infrastructure and adjacent businesses,foreign-private-issuer,2026 Q2,2026-06-30,6-K Exhibit 99.2,0001104659-26-094844,2026-08-12T20:01:08.000Z,operatingCashFlowMarginYtd,4.589931723224295,-2.366025641025641,B,year-to-date operating cash flow / year-to-date revenue,The filing shows a USD 4.395 billion deferred-revenue inflow; this ratio is descriptive and not normalized cash conversion.,https://www.sec.gov/Archives/edgar/data/1513845/000110465926094844/nbis-20260812xex99d2.htm
recent-ai-infrastructure-filing-cross-section-2026-q2-v1,1bc5c856cb14a7d7f0c35aa69309a4ab79c320bceca0ad1ab448f3d306bf896c,nebius,Nebius Group N.V.,NBIS,0001513845,AI cloud infrastructure and adjacent businesses,foreign-private-issuer,2026 Q2,2026-06-30,6-K Exhibit 99.2,0001104659-26-094844,2026-08-12T20:01:08.000Z,capexIntensityYtd,8.285233873433201,6.759615384615385,B,"year-to-date purchases of property, equipment and intangible assets / year-to-date revenue","Numerator includes property, equipment and intangible assets and differs from the two domestic issuers’ capex labels.",https://www.sec.gov/Archives/edgar/data/1513845/000110465926094844/nbis-20260812xex99d2.htm
