artifact_id,payload_sha256,sequence,entry_id,statement,label,taxonomy,unit,period_start,period_end,prior_value,prior_accepted_at,prior_accession,later_value,later_accepted_at,later_accession,delta,classification,prior_filing_url,later_filing_url
nbis-accession-level-pit-comparative-ledger-2026-q2-v1,937d697ea14fa9e4e04c7fb6f8fd662c56524e0b15830b7f26eb99ada834a715,1,NBIS-2025-Q2-01,statement-of-operations,Revenues,issuer-table:revenue,USD,2025-04-01,2025-06-30,105100000,2025-08-07T13:20:01.000Z,0001104659-25-075028,105100000,2026-08-12T20:01:08.000Z,0001104659-26-094844,0,unchanged-at-presented-precision,https://www.sec.gov/Archives/edgar/data/1513845/000110465925075028/tm2522866d1_ex99-1.htm,https://www.sec.gov/Archives/edgar/data/1513845/000110465926094844/nbis-20260812xex99d2.htm
nbis-accession-level-pit-comparative-ledger-2026-q2-v1,937d697ea14fa9e4e04c7fb6f8fd662c56524e0b15830b7f26eb99ada834a715,2,NBIS-2025-H1-01,statement-of-operations,Revenues,issuer-table:revenue,USD,2025-01-01,2025-06-30,156000000,2025-08-07T13:20:01.000Z,0001104659-25-075028,156000000,2026-08-12T20:01:08.000Z,0001104659-26-094844,0,unchanged-at-presented-precision,https://www.sec.gov/Archives/edgar/data/1513845/000110465925075028/tm2522866d1_ex99-1.htm,https://www.sec.gov/Archives/edgar/data/1513845/000110465926094844/nbis-20260812xex99d2.htm
nbis-accession-level-pit-comparative-ledger-2026-q2-v1,937d697ea14fa9e4e04c7fb6f8fd662c56524e0b15830b7f26eb99ada834a715,3,NBIS-2025-Q2-02,statement-of-operations,Cost of revenues,issuer-table:cost-of-revenues,USD,2025-04-01,2025-06-30,30100000,2025-08-07T13:20:01.000Z,0001104659-25-075028,30100000,2026-08-12T20:01:08.000Z,0001104659-26-094844,0,unchanged-at-presented-precision,https://www.sec.gov/Archives/edgar/data/1513845/000110465925075028/tm2522866d1_ex99-1.htm,https://www.sec.gov/Archives/edgar/data/1513845/000110465926094844/nbis-20260812xex99d2.htm
nbis-accession-level-pit-comparative-ledger-2026-q2-v1,937d697ea14fa9e4e04c7fb6f8fd662c56524e0b15830b7f26eb99ada834a715,4,NBIS-2025-H1-02,statement-of-operations,Cost of revenues,issuer-table:cost-of-revenues,USD,2025-01-01,2025-06-30,54800000,2025-08-07T13:20:01.000Z,0001104659-25-075028,54800000,2026-08-12T20:01:08.000Z,0001104659-26-094844,0,unchanged-at-presented-precision,https://www.sec.gov/Archives/edgar/data/1513845/000110465925075028/tm2522866d1_ex99-1.htm,https://www.sec.gov/Archives/edgar/data/1513845/000110465926094844/nbis-20260812xex99d2.htm
nbis-accession-level-pit-comparative-ledger-2026-q2-v1,937d697ea14fa9e4e04c7fb6f8fd662c56524e0b15830b7f26eb99ada834a715,5,NBIS-2025-Q2-03,statement-of-operations,Product development,issuer-table:product-development,USD,2025-04-01,2025-06-30,42800000,2025-08-07T13:20:01.000Z,0001104659-25-075028,42800000,2026-08-12T20:01:08.000Z,0001104659-26-094844,0,unchanged-at-presented-precision,https://www.sec.gov/Archives/edgar/data/1513845/000110465925075028/tm2522866d1_ex99-1.htm,https://www.sec.gov/Archives/edgar/data/1513845/000110465926094844/nbis-20260812xex99d2.htm
nbis-accession-level-pit-comparative-ledger-2026-q2-v1,937d697ea14fa9e4e04c7fb6f8fd662c56524e0b15830b7f26eb99ada834a715,6,NBIS-2025-H1-03,statement-of-operations,Product development,issuer-table:product-development,USD,2025-01-01,2025-06-30,79300000,2025-08-07T13:20:01.000Z,0001104659-25-075028,79300000,2026-08-12T20:01:08.000Z,0001104659-26-094844,0,unchanged-at-presented-precision,https://www.sec.gov/Archives/edgar/data/1513845/000110465925075028/tm2522866d1_ex99-1.htm,https://www.sec.gov/Archives/edgar/data/1513845/000110465926094844/nbis-20260812xex99d2.htm
nbis-accession-level-pit-comparative-ledger-2026-q2-v1,937d697ea14fa9e4e04c7fb6f8fd662c56524e0b15830b7f26eb99ada834a715,7,NBIS-2025-Q2-04,statement-of-operations,"Sales, general and administrative",issuer-table:sales-general-administrative,USD,2025-04-01,2025-06-30,68200000,2025-08-07T13:20:01.000Z,0001104659-25-075028,68200000,2026-08-12T20:01:08.000Z,0001104659-26-094844,0,unchanged-at-presented-precision,https://www.sec.gov/Archives/edgar/data/1513845/000110465925075028/tm2522866d1_ex99-1.htm,https://www.sec.gov/Archives/edgar/data/1513845/000110465926094844/nbis-20260812xex99d2.htm
nbis-accession-level-pit-comparative-ledger-2026-q2-v1,937d697ea14fa9e4e04c7fb6f8fd662c56524e0b15830b7f26eb99ada834a715,8,NBIS-2025-H1-04,statement-of-operations,"Sales, general and administrative",issuer-table:sales-general-administrative,USD,2025-01-01,2025-06-30,129100000,2025-08-07T13:20:01.000Z,0001104659-25-075028,129100000,2026-08-12T20:01:08.000Z,0001104659-26-094844,0,unchanged-at-presented-precision,https://www.sec.gov/Archives/edgar/data/1513845/000110465925075028/tm2522866d1_ex99-1.htm,https://www.sec.gov/Archives/edgar/data/1513845/000110465926094844/nbis-20260812xex99d2.htm
nbis-accession-level-pit-comparative-ledger-2026-q2-v1,937d697ea14fa9e4e04c7fb6f8fd662c56524e0b15830b7f26eb99ada834a715,9,NBIS-2025-Q2-05,statement-of-operations,Depreciation and amortization,issuer-table:depreciation-amortization,USD,2025-04-01,2025-06-30,75200000,2025-08-07T13:20:01.000Z,0001104659-25-075028,75200000,2026-08-12T20:01:08.000Z,0001104659-26-094844,0,unchanged-at-presented-precision,https://www.sec.gov/Archives/edgar/data/1513845/000110465925075028/tm2522866d1_ex99-1.htm,https://www.sec.gov/Archives/edgar/data/1513845/000110465926094844/nbis-20260812xex99d2.htm
nbis-accession-level-pit-comparative-ledger-2026-q2-v1,937d697ea14fa9e4e04c7fb6f8fd662c56524e0b15830b7f26eb99ada834a715,10,NBIS-2025-H1-05,statement-of-operations,Depreciation and amortization,issuer-table:depreciation-amortization,USD,2025-01-01,2025-06-30,124300000,2025-08-07T13:20:01.000Z,0001104659-25-075028,124300000,2026-08-12T20:01:08.000Z,0001104659-26-094844,0,unchanged-at-presented-precision,https://www.sec.gov/Archives/edgar/data/1513845/000110465925075028/tm2522866d1_ex99-1.htm,https://www.sec.gov/Archives/edgar/data/1513845/000110465926094844/nbis-20260812xex99d2.htm
nbis-accession-level-pit-comparative-ledger-2026-q2-v1,937d697ea14fa9e4e04c7fb6f8fd662c56524e0b15830b7f26eb99ada834a715,11,NBIS-2025-Q2-06,statement-of-operations,Total operating costs and expenses,issuer-table:total-operating-costs-expenses,USD,2025-04-01,2025-06-30,216300000,2025-08-07T13:20:01.000Z,0001104659-25-075028,216300000,2026-08-12T20:01:08.000Z,0001104659-26-094844,0,unchanged-at-presented-precision,https://www.sec.gov/Archives/edgar/data/1513845/000110465925075028/tm2522866d1_ex99-1.htm,https://www.sec.gov/Archives/edgar/data/1513845/000110465926094844/nbis-20260812xex99d2.htm
nbis-accession-level-pit-comparative-ledger-2026-q2-v1,937d697ea14fa9e4e04c7fb6f8fd662c56524e0b15830b7f26eb99ada834a715,12,NBIS-2025-H1-06,statement-of-operations,Total operating costs and expenses,issuer-table:total-operating-costs-expenses,USD,2025-01-01,2025-06-30,387500000,2025-08-07T13:20:01.000Z,0001104659-25-075028,387500000,2026-08-12T20:01:08.000Z,0001104659-26-094844,0,unchanged-at-presented-precision,https://www.sec.gov/Archives/edgar/data/1513845/000110465925075028/tm2522866d1_ex99-1.htm,https://www.sec.gov/Archives/edgar/data/1513845/000110465926094844/nbis-20260812xex99d2.htm
nbis-accession-level-pit-comparative-ledger-2026-q2-v1,937d697ea14fa9e4e04c7fb6f8fd662c56524e0b15830b7f26eb99ada834a715,13,NBIS-2025-Q2-07,statement-of-operations,Loss from operations,issuer-table:loss-from-operations,USD,2025-04-01,2025-06-30,-111200000,2025-08-07T13:20:01.000Z,0001104659-25-075028,-111200000,2026-08-12T20:01:08.000Z,0001104659-26-094844,0,unchanged-at-presented-precision,https://www.sec.gov/Archives/edgar/data/1513845/000110465925075028/tm2522866d1_ex99-1.htm,https://www.sec.gov/Archives/edgar/data/1513845/000110465926094844/nbis-20260812xex99d2.htm
nbis-accession-level-pit-comparative-ledger-2026-q2-v1,937d697ea14fa9e4e04c7fb6f8fd662c56524e0b15830b7f26eb99ada834a715,14,NBIS-2025-H1-07,statement-of-operations,Loss from operations,issuer-table:loss-from-operations,USD,2025-01-01,2025-06-30,-231500000,2025-08-07T13:20:01.000Z,0001104659-25-075028,-231500000,2026-08-12T20:01:08.000Z,0001104659-26-094844,0,unchanged-at-presented-precision,https://www.sec.gov/Archives/edgar/data/1513845/000110465925075028/tm2522866d1_ex99-1.htm,https://www.sec.gov/Archives/edgar/data/1513845/000110465926094844/nbis-20260812xex99d2.htm
nbis-accession-level-pit-comparative-ledger-2026-q2-v1,937d697ea14fa9e4e04c7fb6f8fd662c56524e0b15830b7f26eb99ada834a715,15,NBIS-2025-Q2-08,statement-of-operations,Interest income,issuer-table:interest-income,USD,2025-04-01,2025-06-30,3600000,2025-08-07T13:20:01.000Z,0001104659-25-075028,3600000,2026-08-12T20:01:08.000Z,0001104659-26-094844,0,unchanged-at-presented-precision,https://www.sec.gov/Archives/edgar/data/1513845/000110465925075028/tm2522866d1_ex99-1.htm,https://www.sec.gov/Archives/edgar/data/1513845/000110465926094844/nbis-20260812xex99d2.htm
nbis-accession-level-pit-comparative-ledger-2026-q2-v1,937d697ea14fa9e4e04c7fb6f8fd662c56524e0b15830b7f26eb99ada834a715,16,NBIS-2025-H1-08,statement-of-operations,Interest income,issuer-table:interest-income,USD,2025-01-01,2025-06-30,12100000,2025-08-07T13:20:01.000Z,0001104659-25-075028,12100000,2026-08-12T20:01:08.000Z,0001104659-26-094844,0,unchanged-at-presented-precision,https://www.sec.gov/Archives/edgar/data/1513845/000110465925075028/tm2522866d1_ex99-1.htm,https://www.sec.gov/Archives/edgar/data/1513845/000110465926094844/nbis-20260812xex99d2.htm
nbis-accession-level-pit-comparative-ledger-2026-q2-v1,937d697ea14fa9e4e04c7fb6f8fd662c56524e0b15830b7f26eb99ada834a715,17,NBIS-2025-Q2-09,statement-of-operations,Interest expense,issuer-table:interest-expense,USD,2025-04-01,2025-06-30,-4800000,2025-08-07T13:20:01.000Z,0001104659-25-075028,-4800000,2026-08-12T20:01:08.000Z,0001104659-26-094844,0,unchanged-at-presented-precision,https://www.sec.gov/Archives/edgar/data/1513845/000110465925075028/tm2522866d1_ex99-1.htm,https://www.sec.gov/Archives/edgar/data/1513845/000110465926094844/nbis-20260812xex99d2.htm
nbis-accession-level-pit-comparative-ledger-2026-q2-v1,937d697ea14fa9e4e04c7fb6f8fd662c56524e0b15830b7f26eb99ada834a715,18,NBIS-2025-H1-09,statement-of-operations,Interest expense,issuer-table:interest-expense,USD,2025-01-01,2025-06-30,-4800000,2025-08-07T13:20:01.000Z,0001104659-25-075028,-4800000,2026-08-12T20:01:08.000Z,0001104659-26-094844,0,unchanged-at-presented-precision,https://www.sec.gov/Archives/edgar/data/1513845/000110465925075028/tm2522866d1_ex99-1.htm,https://www.sec.gov/Archives/edgar/data/1513845/000110465926094844/nbis-20260812xex99d2.htm
